Crohn's Disease , ITF2357 , Italfarmaco ,20-Oct-07, Phase 1 , Terminated\,,,, 
 Alzheimer's Disease , Standard intervention protocol , University Hospital, Bordeaux , Phase 3 , Unknown status\,,,,
 Crohn's Disease , THC 5 mg/ml and CBD 50 mg/ml. , Meir Medical Center ,20-Mar-13, March 2008 , Phase 3 , Completed\,,,
 Crohn's Disease , certolizumab pegol 400 mg , UCB Pharma ,20-Nov-06, Phase 1 , Unknown status\,,,,
 Crohn's Disease , VSL#3 , Samsung Medical Center ,20-Jan-10, Phase 3 , Terminated\,,,,
 Ischemic Heart Disease , coronary artery bypass grafting with administration of autologous bone marrow stem cells , St. Petersburg State Pavlov Medical University ,20-Feb-13, Phase 3 , Unknown status\,,,,
 Parkinson's Disease , Istradefylline (KW-6002) , Kyowa Hakko Kirin Company, Limited , Phase 3 , Active, not recruiting\,,,
 Peripheral Blood Stem Cell Transplantation , PBMC Transplant , National Heart, Lung, November 2005 , Phase 2 , Completed\,,,
 Inflammatory Bowel Disease , Home Monitoring , University of Maryland ,20-Sep-12, and Blood Institute (NHLBI) , September 2009 , Phase 1 , Active, not recruiting\,
 Chronic Granulomatous Disease , retroviral SF71-gp91phox transduced CD34+ cells , University of Zurich , June 2004 , Phase 3 , Active, not recruiting\,,,
 Alzheimer Disease , [18F] MNI-558 , Institute for Neurodegenerative Disorders ,20-Sep-10, Phase 1 , Completed\,,,,
 Chagas Disease , Exercise, nutritional and pharmaceutical counceling , Evandro Chagas National Institute of Infectious Disease , Phase 0 , Completed\,,,,
 Alzheimer's Disease , Rivastigmine , Novartis Pharmaceuticals ,20-Aug-14, March 2015 , Phase 3 , Active, not recruiting\,,
 Alzheimer Disease , alphatocopherol , University of Kentucky ,20-May-02, Phase 4 , Completed\,,,,
 Pompe Disease , rAAV1-CMV-GAA (study agent) Administration , University of Florida ,20-Sep-10, Phase 3 , Unknown status\,,,,
 Crohn's Disease , CCX282-B , ChemoCentryx ,20-Mar-06, Phase 1 , Completed\,,,,
 Alzheimer's Disease , Varenicline , Pfizer , July 2009 , Phase 2 , Completed\,,,,
 Crohn's Disease , Prochymal\'99 adult human mesenchymal stem cells , Mesoblast International S\'e0rl ,20-Feb-06, Phase 2 , Completed\,,,,
 Alzheimer Disease , SPECT scan , Institute for Neurodegenerative Disorders ,20-Aug-07, Phase 2 , Completed\,,,,
 Crohn's Disease , IMURAN (azathioprine) , National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) ,20-Feb-05, Phase 1 , Terminated\,,,,
 Pompe Disease , Albuterol , Duke University , June 2013 , Phase 2 , Terminated\,,,,
 Alzheimer Disease , MNI-513-01 , Institute for Neurodegenerative Disorders ,20-Oct-09, Phase 1 , Active, not recruiting\,,,
 Crohn Disease , Sargramostim (Leukine) , Genzyme, a Sanofi Company , Phase 0 , Terminated\,,,,
 Crohn Disease , FDG PET/CT , Universit\'e9 de Sherbrooke ,20-Sep-06, February 2003 , Phase 2 , Terminated\,,,
 Parkinson's Disease , NTCELL , Living Cell Technologies , July 2013 , Phase 2 , Unknown status\,,,,
 Inflammatory Bowel Disease , Fecal microbial l transplantation , Meir Medical Center ,20-Apr-15, Phase 1 , Completed\,,,,
 Alzheimer's Disease , EVP-6124 , FORUM Pharmaceuticals Inc ,20-Apr-10, Phase 1 , Terminated\,,,,
 Chronic Graft-versus-host Disease , Bortezomib , Baylor Research Institute , June 2010 , Phase 2 , Completed\,,,,
 Charcot Marie Tooth Disease , Coenzyme Q10 , Memorial Medical Center ,20-Sep-07, Phase 2 , Active, not recruiting\,,,
 Hodgkin's Disease , R-mabHD , American Scitech International , July 2011 , Phase 1 , Completed\,,,,
 Hematologic Malignancies , reduced intensity, related donor stem cell transplant , Pavan Reddy, Phase 2 , Unknown status\,,,,
 Crohn's Disease , Dehydroepiandrosterone [DHEA] , Inflabloc Pharmaceuticals ,20-Jan-05, MD , January 2009 , Phase 1 , Completed\,,
 Parkinson's Disease , Exelon Patch (rivastigmine transdermal system) , University of Pennsylvania ,20-Dec-11, Phase 2 , Completed\,,,,
 Celiac Disease , AT-1001 , Alba Therapeutics ,20-Aug-07, Phase 4 , Completed\,,,,
 Crohn's Disease , Allogeneic Stem Cell Therapy , Northwestern University ,20-Jan-10, Phase 2 , Completed\,,,,
 Alzheimer Disease , Dimebon 20 mg po TID , Pfizer ,20-Sep-09, Phase 1 , Terminated\,,,,
 HIV Disease , ,,, Phase 3 , Terminated\,,,,
\f1 \uc0\u945 ,,,,,,,,,
\f0 1 Proteinase Inhibitor , Institute for Human Genetics and Biochemistry , April 2012 , Phase 2 ,,,,,,
 Crohn's Disease , smoking of cannabis , Meir Medical Center ,20-Jan-10, Terminated\,,,,,
 Systemic Lupus Erythematosus , Group B SLE one blood donation , Oklahoma Medical Research Foundation ,20-May-09, Phase 1 , Unknown status\,,,,
 Crohn's Disease , TA-650 , Mitsubishi Tanabe Pharma Corporation ,20-Dec-08, Phase 1 , Completed\,,,,
 Sickle Cell Disease , Ticagrelor , AstraZeneca , July 2015 , Phase 3 , Completed\,,,,
 Huntington's Disease , Creatine , National Center for Complementary and Integrative Health (NCCIH) ,20-Oct-01, Phase 2 , Active, not recruiting\,,,
 ISCHEMIC CARDIOMYOPATHY , 'SEEMORE' - MANGANESE-ENHANCED MRI CONTRAST REAGENT , Stanford University ,20-May-13, Phase 1 , Completed\,,,,
 Parkinson's Disease , MitoQ , Antipodean Pharmaceuticals, Inc. , Phase 1 , Completed\,,,,
 Idiopathic Parkinson's Disease , Deep Brain Stimulation , Boston Scientific Corporation ,20-Oct-10, May 2006 , Phase 2 , Completed\,,,
 Alzheimer's Disease , Human Umbilical Cord Derived MSC , Affiliated Hospital to Academy of Military Medical Sciences ,20-Mar-12, Phase 2 , Active, not recruiting\,,,
 Crohn's Disease , Certolizumab pegol , UCB Pharma ,20-Apr-07, Phase 1 , Active, not recruiting\,,,
 Parkinson Disease , Group singing , Johns Hopkins University ,20-Dec-15, Phase 3 , Terminated\,,,,
 Chronic Kidney Disease , Electronic Decision Support , Brigham and Women's Hospital ,20-May-11, Phase 2 , Active, not recruiting\,,,
 Alzheimer's Disease , HF0220 , Hunter-Fleming Ltd , July 2006 , Phase 3 , Completed\,,,,
 Alzheimer's Disease , AH110690 (18F) Injection , GE Healthcare ,20-Sep-08, Phase 2 , Completed\,,,,
 Peyronie's Disease , AA4500 , Endo Pharmaceuticals ,20-Nov-10, Phase 2 , Completed\,,,,
 Alzheimer's Disease , TRx0237 150 mg/day , TauRx Therapeutics Ltd ,20-Jan-13, Phase 3 , Completed\,,,,
 Type I Gaucher Disease , Ambroxol , Exsar Corporation ,20-Dec-12, Phase 3 , Completed\,,,,
 Crohn's Disease , STA-5326 , National Institute of Allergy and Infectious Diseases (NIAID) ,20-Nov-05, Phase 1 , Suspended\,,,,
 Parkinson's Disease , Respiratory muscle strength training , University of Florida ,20-Dec-04, Phase 2 , Completed\,,,,
 Crohn's Disease , Certolizumab Pegol (CDP870) , UCB Pharma ,20-Feb-04, Phase 2 , Completed\,,,,
 Fabry Disease , Lucerastat , Actelion ,20-Feb-15, Phase 3 , Completed\,,,,
 Pulmonary Disease, Chronic Obstructive , Placebo , MedImmune LLC , Phase 1 , Completed\,,,,
 Crohn's Disease , AIN457 , Novartis Pharmaceuticals ,20-Oct-09, November 2010 , Phase 2 , Completed\,,,
 Celiac Disease , AT1001 , Alba Therapeutics ,20-Aug-06, Phase 2 , Terminated\,,,,
 Celiac Disease , Larazotide Acetate 0.5 mg , Alba Therapeutics ,20-Oct-11, Phase 2 , Completed\,,,,
 Crohn's Disease , J695 , National Institute of Allergy and Infectious Diseases (NIAID) ,20-Dec-00, Phase 2 , Completed\,,,,
 Crohn's Disease , Visilizumab , Facet Biotech ,20-Feb-05, Phase 1 , Completed\,,,,
 Kidney Disease , Whole Body Vibration , Universidade Federal de Pernambuco ,20-Apr-15, Phase 2 , Completed\,,,,
 Fibrosis , Pirfenidone , University of Guadalajara ,20-Sep-09, Phase 4 , Completed\,,,,
 Alzheimer's Disease , ST101 , Sonexa Therapeutics, Inc. , Phase 1 , Completed\,,,,
 Crohn Disease , UVADEX and UVAR XTS Photopheresis System , National Institute of Allergy and Infectious Diseases (NIAID) ,20-Mar-03, February 2009 , Phase 2 , Completed\,,,
 Alzheimer's Disease , Insulin Aspart , Jeff Burns, MD , Phase 1 , Completed\,,,,
 Graft Vs Host Disease , ABX-CBL , Abgenix ,19-Oct-99, October 2007 , Phase 1 , Completed\,,,
 Peyronie's Disease , AA4500 , Endo Pharmaceuticals ,20-Sep-12, Phase 2 , Completed\,,,,
 Parkinson Disease , Cognitive Behavioral Therapy , Michael Debakey Veterans Affairs Medical Center ,20-Nov-11, Phase 3 , Completed\,,,,
 Crohn's Disease , Infliximab , Samsung Medical Center ,20-Oct-09, Phase 1 , Completed\,,,,
 Meniere's Disease , Methylprednisolone , Imperial College London ,20-Apr-09, Phase 3 , Completed\,,,,
 Hodgkins Disease , Proton , Indiana University ,20-Sep-11, Phase 2 , Completed\,,,,
 Kidney Disease , Propranolol , University of California, San Francisco , Phase 0 , Terminated\,,,,
 Parkinson's Disease , Istradefylline , Kyowa Hakko Kirin Company, Limited , March 2010 , Phase 1 , Completed\,,,
 Crohn's Disease , azathioprine , Massachusetts General Hospital ,20-Apr-05, March 2007 , Phase 2 , Completed\,,,
 Neurodegenerative Disease , dextromethorphan , National Institute of Neurological Disorders and Stroke (NINDS) , July 1993 , Phase 3 , Terminated\,,,,
 Alzheimer's Disease , ST101 , Sonexa Therapeutics, Inc. , Phase 2 , Completed\,,,,
 Crohn's Disease , Sargramostim (Leukine) , Genzyme, a Sanofi Company , February 2009 , Phase 2 , Completed\,,,
 Cardiovascular Disease , Polypill: Red Heart Pill , Imperial College London ,20-Feb-11, June 2006 , Phase 2 , Terminated\,,,
 Parkinson's Disease , Vitamin B12 Supplementation , Emory University ,20-Sep-06, Phase 3 , Completed\,,,,
 Alzheimer Disease , BI 425809 dose 1 , Boehringer Ingelheim ,20-Aug-16, Phase 2 , Terminated\,,,,
 Parkinson's Disease , deep brain stimulation (ACTIVA PC, Medtronic) , University Hospital Tuebingen , Phase 2 , Suspended\,,,,
 Meniere's Disease , Famciclovir , House Research Institute ,20-Dec-11, February 2011 , Phase 2 , Completed\,,,
 Alzheimer's Disease , saracatinib , Stephen M. Strittmatter , July 2013 , Phase 3 , Terminated\,,,,
 Alzheimer Disease , [123I]-IBVM , Institute for Neurodegenerative Disorders ,20-Feb-07, Phase 1 , Completed\,,,,
 Alzheimer's Disease , Sertraline (Zoloft) , Johns Hopkins University , July 2004 , Phase 2 , Completed\,,,,
 End Stage Renal Disease , 13-valent conjugate pneumococcal vaccine , Michigan State University ,20-May-13, Phase 2 , Completed\,,,,
 Parkinson Disease , Real iTBS , Mark Hallett ,20-Sep-08, Phase 4 , Completed\,,,,
 Parkinson's Disease , IV Levodopa , National Institute of Neurological Disorders and Stroke (NINDS) ,20-Mar-01, Phase 1 , Completed\,,,,
 Sickle Cell Disease , GMI-1070 , Pfizer ,20-May-09, Phase 2 , Completed\,,,,
 Panic Disorder , PFPP , Weill Medical College of Cornell University ,20-Feb-00, Phase 1 , Completed\,,,,
 Parkinson's Disease , bone marrow derived mesenchymal stem cells , Guangzhou General Hospital of Guangzhou Military Command ,20-Oct-11, Phase 2 , Completed\,,,,
 Ulcerative Colitis , Bifidobacterium infantis 35624 , University College Cork ,20-Jan-02, Phase 1 , Unknown status\,,,,
 Alzheimer's Disease , TRx0014 , TauRx Therapeutics Ltd , July 2007 , Phase 2 , Unknown status\,,,,
 Alzheimer Disease , Raloxifene , University of Wisconsin, Madison , Phase 2 , Completed\,,,,
 Parkinson's Disease , Istradefylline (KW-6002) , Kyowa Kirin Pharmaceutical Development, Inc. , September 2001 , Phase 2 , Completed\,,,
 Graft vs Host Disease , intra-arterial treatment , Hadassah Medical Organization ,20-Dec-00, June 2004 , Phase 3 , Completed\,,,
 Parkinson Disease , tDCS , Universidade Federal de Pernambuco ,20-Jan-10, Phase 1 , Completed\,,,,
 Alzheimer's Disease , MABT5102A , Genentech, Inc. , Phase 2 , Completed\,,,,
 Parkinson's Disease , duloxetine , University Hospital, Toulouse , April 2011 , Phase 2 , Completed\,,,
 Parkinson's Disease , Glutathione , University of South Florida ,20-Sep-03, May 2011 , Phase 3 , Unknown status\,,,
 Alzheimer's Disease , Rivastigmine transdermal patch , Novartis Pharmaceuticals ,20-Mar-12, Phase 2 , Completed\,,,,
 Gaucher's Disease , CEREDASE\'99 , National Institute of Neurological Disorders and Stroke (NINDS) ,19-Dec-93, Phase 4 , Completed\,,,,
 Alzheimer Disease , [123I] IMPY & SPECT Imaging , Institute for Neurodegenerative Disorders ,20-Feb-06, Phase 2 , Completed\,,,,
 Celiac Disease , Necator americanus , The Prince Charles Hospital ,20-Aug-12, Phase 1 , Completed\,,,,
 Idiopathic Parkinson Disease , Levetiracetam , UCB Pharma , July 2003 , Phase 1 , Completed\,,,,
 Parkinson's Disease , Rasagiline , Teva Neuroscience, Inc. , Phase 2 , Completed\,,,,
 Parkinson's Disease , Oxaloacetate (OAA) , University of Kansas Medical Center ,20-Dec-12, December 2009 , Phase 4 , Completed\,,,
 Alzheimer's Disease , Rivastigmine transdermal patch , Novartis Pharmaceuticals , July 2008 , Phase 2 , Completed\,,,,
 Alzheimer's Disease , Resveratrol with Glucose, and Malate , VA Office of Research and Development , Phase 4 , Completed\,,,,
 Alzheimer's Disease , EVP-6124 (0.1 mg/day) , FORUM Pharmaceuticals Inc ,20-Oct-08, January 2008 , Phase 3 , Completed\,,,
 Parkinson's Disease , Istradefylline (KW-6002) , Kyowa Hakko Kirin Company, Limited , Phase 1 , Completed\,,,,
 Periodontal Diseases , Active Comparator:Aloe Vera mouthwash , Islamic Azad University, Tehran , April 2005 , Phase 2 , Completed\,,,
 Graft-Versus-Host Disease , Mesenchymal stromal cells , Karolinska Institutet ,20-Aug-11, March 2014 , Phase 2 , Completed\,,,
 Parkinson's Disease , Coenzyme Q10 Nanodispersion (Nanoquinone) , Technische Universit\'e4t Dresden ,20-Sep-03, Phase 1 , Active, not recruiting\,,,
 Crohn's Disease , Delayed Release 6 mercaptopurine , Teva GTC ,20-Nov-10, Phase 3 , Completed\,,,,
 Crohn's Disease , Labeling Ceretec , GlaxoSmithKline ,20-Jan-10, Phase 1 , Terminated\,,,,
 Parkinson's Disease , Coenzyme Q10 , National Institute of Neurological Disorders and Stroke (NINDS) ,19-Sep-98, Phase 1 , Completed\,,,,
 Parkinson's Disease , BIIB014 , Biogen ,20-Apr-07, Phase 2 , Completed\,,,,
 Sickle Cell Disease , N-Acetylcysteine , Bloodworks (Puget Sound Blood Center) ,20-Mar-13, Phase 2 , Completed\,,,,
 Alzheimer's Disease , I123MNI388/I123MNI390 , Institute for Neurodegenerative Disorders ,20-Mar-09, Phase 1 , Enrolling by invitation\,,,,
 Chronic Granulomatous Disease , Nexell Isolex with T-cell Depletion , National Institute of Allergy and Infectious Diseases (NIAID) ,19-Apr-98, Phase 1 , Terminated\,,,,
 Crohn's Disease , Olokizumab (OKZ) , UCB BIOSCIENCES GmbH , June 2012 , Phase 1 , Completed\,,,,
 Chronic Granulomatous Disease , T-Cell Depleted & CD34+Select/w/StemCell Enriched Product , National Institute of Allergy and Infectious Diseases (NIAID) ,20-Aug-01, Phase 2 , Withdrawn\,,,,
 Chronic Kidney Disease , Mablet 360 mg , Zealand University Hospital ,20-Aug-14, Phase 3 , Completed\,,,,
 Parkinson's Disease , NS2330 , National Institute of Neurological Disorders and Stroke (NINDS) ,20-Aug-00, Phase 1 , Completed\,,,,
 Muckle Wells Syndrome , XOMA 052 , National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS) ,20-Aug-10, Phase 2 , Completed\,,,,
 Crohn's Disease , Adacolumn , Otsuka America Pharmaceutical ,20-Jan-05, Phase 1 , Withdrawn\,,,,
 Parkinson's Disease , SPM 962 , Otsuka Pharmaceutical Co. Ltd, August 2006 , Phase 3 , Completed\,,,,
 Parkinson's Disease , deep brain stimulation , University of Minnesota - Clinical and Translational Science Institute , June 1999 , Phase 2 , Completed\,,,,
 Periodontal Diseases , Triclosan , Colgate Palmolive ,20-Nov-00, Phase 3 , Completed\,,,,
 Crohn's Disease , Visilizumab , Facet Biotech ,20-Feb-05, Phase 3 , Unknown status\,,,,
 Alzheimer's Disease , TRx0237 200 mg/day , TauRx Therapeutics Ltd ,20-Oct-12, Phase 2 , Completed\,,,,
 Parkinson's Disease , Carbidopa/levodopa/entacapone , Novartis Pharmaceuticals ,20-Sep-04, Phase 3 , Completed\,,,,
 Von Willebrand Disease , Biostate , CSL Behring ,20-Aug-10, Phase 3 , Completed\,,,,
 Huntington's Disease , Music Therapy , University of Rochester , July 2004 , Phase 3 , Completed\,,,,
 Alzheimer's Disease , Solanezumab , Eli Lilly and Company , July 2013 , Phase 1 , Completed\,,,,
 Parkinson`s Disease , VIUSID/ALZER , Catalysis SL ,20-Oct-09, Phase 3 , Active, not recruiting\,,,
 Chronic Granulomatous Disease , interferon-gamma , National Institute of Allergy and Infectious Diseases (NIAID) ,19-May-92, Phase 3 , Completed\,,,,
 Crohn's Disease , MEDI2070 , AstraZeneca ,20-Feb-13, Phase 4 , Completed\,,,,
 Crohn's Disease , ABT-494 , AbbVie ,20-Mar-15, Phase 2 , Active, not recruiting\,,,
 Inflammatory Bowel Disease (IBD) , SC12267 (4SC-101) , 4SC AG ,20-Mar-09, Phase 2 , Active, not recruiting\,,,
 Alzheimer Disease , lecozotan SR (SRA-333) , Wyeth is now a wholly owned subsidiary of Pfizer ,20-Mar-06, Phase 2 , Completed\,,,,
 Parkinson Disease , IV Levodopa , National Institute of Neurological Disorders and Stroke (NINDS) ,20-Apr-05, Phase 2 , Completed\,,,,
 Alzheimer Disease , Simvastatin , National Institute on Aging (NIA) ,20-Dec-02, Phase 2 , Completed\,,,,
 Parkinson's Disease Dementia , Rivastigmine capsule , Novartis ,20-Jan-08, Phase 3 , Completed\,,,,
 Crohn's Disease , Placebo , Mesoblast International S\'e0rl ,20-Oct-07, Phase 3 , Completed\,,,,
 Parkinson's Disease , Activa PC+S , University of Minnesota - Clinical and Translational Science Institute ,20-May-16, Phase 3 , Completed\,,,,
 Body Dysmorphic Disorder , Levetiracetam , Butler Hospital ,20-Dec-04, Phase 0 , Enrolling by invitation\,,,,
 Coronary Artery Disease , PB127 for Injectable Suspension , Point Biomedical ,20-Oct-07, Phase 4 , Completed\,,,,
 Crohn's Disease , Probiotic , The Baruch Padeh Medical Center - Poriya, February 2013 , Phase 3 , Terminated\,,,,
 Parkinson's Disease , ProSavin , Oxford BioMedica ,20-Jan-08, Phase 4 , Unknown status\,,,,
 Crohn's Disease , autologous mesenchymal stromal cell , Emory University , July 2012 , Phase 1 , Completed\,,,,
 Influenza Disease , Adjuvanted influenza vaccine , Novartis Vaccines ,20-Nov-06, Phase 1 , Completed\,,,,
 Hand, Foot and Mouth Disease -  Magnesium Sulphate,  Oxford University Clinical Research Unit - Vietnam, April 2014 , Phase 3 , Completed\,,,,
 Idiopathic Parkinson's Disease , CD-LD ER , IMPAX Laboratories Inc., October 2005 , Phase 2 , Unknown status\,,,,
 Parkinson's Disease , Deferiprone , Imperial College London ,20-Feb-12, Phase 1 , Completed\,,,,
 Kawasaki Disease , Sestamibi , Lantheus Medical Imaging ,20-Aug-05, Phase 2 , Unknown status\,,,,
 Chronic Granulomatous Disease , Stem cell transplantation , National Institute of Allergy and Infectious Diseases (NIAID) ,20-Oct-00, Phase 3 , Completed\,,,,
 Parkinson Disease , Gait tests with and without the use of a tactile sensory cue (electrical stimulation using a TENS unit) , Washington University School of Medicine ,20-May-08, Phase 2 , Completed\,,,,
 Chronic Obstructive Pulmonary Disease , Cholecalciferol , Barts & The London NHS Trust ,20-Sep-09, Phase 0 , Terminated\,,,,
 Coronary Artery Disease , Perfusion CMR for detection of coronary artery disease , Amersham Buchler - GmbH & Co KG , July 2003 , Phase 2 , Completed\,,,,
 Chronic Granulomatous Disease , Phagocyte Oxidase Subunit Transduced CD34 Hematopoietic Stem Cells , National Institute of Allergy and Infectious Diseases (NIAID) ,20-Oct-06, Phase 3 , Completed\,,,,
 Von Willebrand Disease , Biostate , CSL Behring ,20-Oct-10, Phase 0 , Terminated\,,,,
 Alzheimer's Disease , AChEI - Either donepezil or galantamine or rivastigmine with or without memantine , Hoffmann-La Roche ,20-Oct-12, Phase 3 , Completed\,,,,
 Kidney, Polycystic , Lisinopril  National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) , January 2006 , Phase 2 , Completed\,,,,
 Crohn's Disease , 23-valent polysaccharide pneumococcal vaccine , Kyunghee University Medical Center ,20-Dec-11, Phase 3 , Completed\,,,,
 Parkinson Disease , Zonisamide , Mazandaran University of Medical Sciences ,20-Feb-13, Phase 4 , Completed\,,,,
 Pediatric Crohn's Disease , Top-down , University of Roma La Sapienza ,20-Dec-12, Phase 2 , Unknown status\,,,,
 Alzheimer's Disease , Rivastigmine Patch , Novartis Pharmaceuticals , July 2011 , Phase 4 , Withdrawn\,,,,
 Parkinson's Disease , ADX48621 , Addex Pharma S.A. ,20-Apr-11, Phase 3 , Completed\,,,,
 Parkinson's Disease , Cranial Electric Stimulation (CES) , University of Maryland ,20-Jan-10, Phase 2 , Completed\,,,,
 Alzheimer's Disease , ACC-001 (vanutide cridificar) , JANSSEN Alzheimer Immunotherapy Research & Development LLC, January 2011 , Phase 1 , Completed\,,,,
 Cushing Disease , Pasireotide , Novartis Pharmaceuticals ,20-Aug-04, Phase 2 , Completed\,,,,
 Parkinson Disease , [123I]B-CIT , Institute for Neurodegenerative Disorders ,20-Jan-06, Phase 2 , Completed\,,,,
 Fabry Disease , Replagal (Agalsidase Alfa) , National Institute of Neurological Disorders and Stroke (NINDS) ,20-Nov-04, Phase 2 , Completed\,,,,
 Alzheimer's Disease , Tamibarotene , Osaka City University ,20-May-10, Phase 4 , Completed\,,,,
 Parkinson's Disease , sNN0031 , Newron Sweden AB ,20-Mar-09, Phase 2 , Unknown status\,,,,
 Crohn's Disease , Autologous Stem Cell Transplantation , Northwestern University ,20-Apr-05, Phase 1 , Completed\,,,,
 Crohn's Disease , ERB-041 , Wyeth is now a wholly owned subsidiary of Pfizer ,20-Apr-04, Phase 2 , Terminated\,,,,
 Celiac Disease , STAN1 , Heim Pal Children's Hospital ,20-Aug-08, Phase 1 , Completed\,,,,
 Nonalcoholic Fatty Liver Disease (NAFLD) , DR cysteamine bitartrate capsule , National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) , June 2012 , Phase 1 , Active, not recruiting\,,,
 Alzheimer's Disease , Nilvadipine , Prof Brian Lawlor ,20-Oct-12, Phase 2 , Completed\,,,,
 Crohn's Disease , Semapimod , Ferring Pharmaceuticals ,20-Dec-02, Phase 3 , Active, not recruiting\,,,
 Huntington's Disease , Lithium , National Institute of Neurological Disorders and Stroke (NINDS) ,20-Oct-04, Phase 2 , Completed\,,,,
 Parkinson's Disease , ODM-101 65mg Carbidopa , Orion Corporation -  Orion Pharma , May 2011 , Phase 2 , Completed\,,,,
 Crohn's Disease , CP-461 , Astellas Pharma Inc , July 2002 , Phase 2 , Completed\,,,,
 Parkinson's Disease , Istradefylline (KW-6002) , Kyowa Kirin Pharmaceutical Development Inc., March 2002 , Phase 2 , Completed\,,,,
 Alzheimer's Disease , Interferon beta-1a , Merck KGaA ,20-Nov-04, Phase 2 , Completed\,,,,
 Parkinson's Disease , Caffeine , McGill University Health Center ,20-Apr-14, Phase 2 , Completed\,,,,
 Panic Disorder , Duloxetine , Massachusetts General Hospital ,20-Aug-06, Phase 3 , Active, not recruiting\,,,
 Parkinson's Disease , Donepezil , Newcastle-upon-Tyne Hospitals NHS Trust ,20-Jan-13, Phase 4 , Completed\,,,,
 Alzheimer's Disease , ABT-288 , AbbVie (prior sponsor Abbott), December 2009 , Phase 3 , Suspended\,,,,
 Chronic Kidney Disease , Sodium bicarbonate , Albert Einstein College of Medicine of Yeshiva University ,20-Mar-09, Phase 2 , Completed\,,,,
 Sickle Cell Disease , Codeine (30 mg) , PriCara -  Unit of Ortho-McNeil Inc., March 2005 , Phase 2 , Completed\,,,,
 Parkinson's Disease , Rotigotine , UCB Pharma , July 2007 , Phase 1 , Completed\,,,,
 Coronary Disease , torcetrapib/atorvastatin , Pfizer , July 2004 , Phase 3 , Terminated\,,,,
 Arterial Occlusive Diseases , intraarterial stem cell therapy , Johann Wolfgang Goethe University Hospital ,20-Oct-05, Phase 3 , Terminated\,,,,
 Fabry Disease , Replagal , National Institute of Neurological Disorders and Stroke (NINDS) ,20-Oct-03, Phase 1 , Completed\,,,,
 Fabry Disease , Replagal , National Institute of Neurological Disorders and Stroke (NINDS) ,20-Jan-04, Phase 2 , Completed\,,,,
 Kawasaki Disease , Infliximab , Fudan University ,20-Jan-13, Phase 2 , Completed\,,,,
 Parkinson's Disease , EMD 128130 , National Institute of Neurological Disorders and Stroke (NINDS) ,20-Jan-01, Phase 3 , Completed\,,,,
 Crohn's Disease , TNFa Kinoid , Neovacs ,20-Oct-08, Phase 2 , Completed\,,,,
 Peripheral Arterial Disease , Atorvastatin , Hospital Universitario Getafe ,20-Jan-08, Phase 1 , Completed\,,,,
 Crohn's Disease , Certolizumab pegol (CZP) , UCB Japan Co. Ltd. ,20-May-06, Phase 4 , Completed\,,,,
 Parkinson's Disease , Caffeine 100-200 mg BID , Ron Postuma ,20-Apr-07, Phase 2 , Completed\,,,,
 Inflammatory Bowel Diseases (IBD) , Fecal Microbiota Transplantation (FMT) , University of Pittsburgh ,20-Sep-14, Phase 2 , Completed\,,,,
 Type 2 Diabetes , Diabetes and depression intervention , National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) ,20-Oct-09, Phase 1 , Active, not recruiting\,,,
 Liver Disease , Fresh Frozen Plasma , University of Colorado - Denver, January 2012 , Phase 4 , Unknown status\,,,,
 Parkinson Disease , JP 1730 , National Institute of Neurological Disorders and Stroke (NINDS) , June 2002 , Phase 4 , Active, not recruiting\,,,
 Mild Alzheimer's Disease , Sodium Oxybate , Clayton Sleep Insititute , June-24-2008, Phase 2 , Completed\,,,,
 Alzheimer's Disease , VI-1121 , VIVUS Inc., August 2011 , Phase 4 , Terminated\,,,,
 Graft vs. Host Disease , Ustekinumab , H. Lee Moffitt Cancer Center and Research Institute ,20-Feb-13, Phase 2 , Completed\,,,,
 Peyronie's Disease , AA4500 , Endo Pharmaceuticals ,20-Sep-10, Phase 2 , Active, not recruiting\,,,
 Ocular Surface Disease , Fishoil supplement , University of Illinois at Chicago ,20-Apr-12, Phase 3 , Completed\,,,,
 Gastroesophageal Reflux Disease , mosapride for the first month and placebo for the 2nd month , Lotung Poh-Ai Hospital , June 2008 , Phase 0 , Unknown status\,,,,
 Parkinson's Disease With Cognitive Impairments , safinamide , Newron ,20-Sep-10, Phase 4 , Completed\,,,,
 End-stage Renal Disease , Calcium carbonate ( Intensive phosphate control) , St. Michael's Hospital - Toronto, January 2014 , Phase 2 , Completed\,,,,
 Alzheimer's Disease , PF-04447943 , Pfizer ,20-Sep-09, Phase 2 , Completed\,,,,
 Parkinson's Disease , Reduced Glutathione 100mg , Bastyr University ,20-Apr-15, Phase 2 , Completed\,,,,
 Parkinson's Disease , IPX066 , IMPAX Laboratories Inc., September 2009 , Phase 2 , Completed\,,,,
 Alzheimer's Disease , DAOI-B , Chang Gung Memorial Hospital ,20-Jan-12, Phase 3 , Completed\,,,,
 Alzheimer's Disease , CERE-110: Adeno-Associated Virus Delivery of NGF , Ceregene , June 2004 , Phase 2 , Completed\,,,,
